Ticker,NPM_Y,GPM_X1,OPM_X2,EBITDA_M_X3,ROA_X5,ROE_X6,CurrRatio_X7,QuickRatio_X8,CashPS_X10,LogOpCashFlow_X11,FCF_PS_X12,DER_X13,PER_X16,PBV_X17,PSR_X18,FirmSize_X19,RevGrowth_X20
GDST,0.04403,0.11439,0.027980002,0.04927,0.02167,0.07413,1.227,0.963,107.39090232296456,25.32637038762809,-4.848158107871247,80.683,9.59596,0.74145854,0.45465547,27.683276709500085,-0.244
RANC,-0.02029,0.24370001,0.0029300002,0.010880001,-0.014520001,-0.15903999874999997,0.895,0.154,48.41868839987536,25.479492897153985,45.25847282768319,121.477,115.90186012499998,4.038455,0.38946447,27.750075400151736,-0.003
SIPD,0.00416,0.094469994,0.026589999,0.0295,0.015800001,0.01843,0.974,0.477,533.7088592172603,25.37053723087068,-89.75242766083986,73.66,115.90186012499998,2.2666974,0.5178426,28.639074656165565,0.1
PWON,0.30543,0.56353,0.41426998,0.5286,0.05243,0.102419995,3.976,2.356,152.14660728079434,28.755025156573748,61.14279498420444,21.136,8.104458,0.7939274,2.4759037,30.48389039401405,0.144
MYOR,0.0754,0.21122,0.09075,0.14089,0.07305,0.17171,2.961,1.728,201.68677632347732,28.505575050765277,51.2238318404008,51.345,18.570978,3.040524,1.3993939,31.5938235691621,-0.006
ALDO,0.00145,0.13239999,0.05945,0.06518,0.01958,0.00271,1.207,0.629,25.48708983852034,24.49796027054139,9.610886847503131,55.378,115.90186012499998,1.4811965,0.7497458,28.06150818087577,0.149
CLEO,0.15622,0.56294996,0.20341998,0.29895002,0.13841,0.22021,1.425,0.434,1.716152832,27.06103474641164,4.860688042666666,20.022,20.50187,4.241313,3.277201,29.851962162993196,0.067
TUGU,0.12544,0.42128,0.46311375624999995,0.17289,0.011569999,0.05059,1.033,0.285,533.7088592172603,25.699708053518837,149.54602889564947,7.292,8.830194,0.3953342,1.1071734,29.02175569160141,0.008
PRAY,0.06437,0.27644,0.13044,0.22417,0.03269,0.04423,2.624,2.128,49.974347812373296,26.48591141719718,-55.36437168578245,49.821,75.32957,3.516607,4.8600516,30.044032277115143,0.224
TPIA,0.2208,0.01541,0.04507,0.00043000001,-0.01306,0.37747999925,2.977,1.977,0.0297087517558663,19.746872089851696,-0.0160379850422535,82.7,19.551315,34.896095887499996,76.3275764,33.065000686965256,0.5878749999999999
ROTI,0.0677,0.51114,0.09856,0.14563,0.05795,0.121920004,1.136,0.926,70.24879495766181,26.809657598320868,33.937192678524255,46.462,17.202354,2.2170427,1.1562392,29.084483385674943,-0.076
VICI,0.11655,0.55515,0.14471,0.17177,0.10474,0.15458,5.003,2.291,7.332349252236136,25.938679042998963,16.21098002623733,7.783,23.740711,3.5199413,2.769576,28.98093666575388,0.031
BUKA,0.33810002,0.08525,-0.0074699996,-0.05234,-0.0075,0.07817,6.9083749999999995,4.698624999999999,214.21626296077343,26.3600051213407,36.013146422167615,0.456,6.6127496,0.5197563,2.477451,30.293911481945024,0.5878749999999999
BSDE,0.24181,0.60144,0.17087999,0.34500998,0.02962,0.06888,2.865,0.987,516.2379606252044,27.97717141079909,-58.1147276475747,29.146,6.231393,0.44123814,1.506687,30.56605052363232,-0.128
KLBF,0.10163,0.39924,0.09561,0.14959,0.09329,0.14554,3.85,2.147,92.6872636421481,28.865049709620088,50.59071233548059,2.102,14.882506,2.248454,1.5053029,31.577412036157764,0.126
GTSI,0.15123,0.36375,0.21198,0.46895,0.04403,0.0867,2.047,1.747,0.002025222887983,19.165081778375473,0.0001646045578039,46.231,41.90141,34.896095887499996,76.3275764,28.95675733519816,0.17
PANI,0.24195999,0.63144,0.46311375624999995,0.53893,0.0275,0.0678,1.948,0.297,253.89784726317305,27.364209925085422,123.38306415810143,2.054,115.90186012499998,5.956904,37.411392,32.59789562103424,0.5878749999999999
JSMR,0.14502,0.45294997,0.29012,0.44881,0.03849,0.08915,0.414,0.361,533.7088592172603,29.311923695288385,-89.75242766083986,119.434,6.6118426,0.73528904,0.95860463,30.896815461682312,-0.132
BESS,0.24465,0.43264,0.15258001,0.34984002,0.08984999,0.15508,6.9083749999999995,4.698624999999999,44.19026452592472,25.502848445631447,28.451965945597887,2.687,55.555553,7.925713,13.454786,29.282040393819383,0.067
MKTR,0.05945,0.17093,0.10583,0.1462,0.06033,0.11447,3.488,1.048,14.360216469733375,25.375441641091317,-9.980730559417406,118.776,22.891567,2.4807417,1.3454338,28.103544682982356,0.5878749999999999
AISA,0.04788,0.37935,0.0797,0.11288,0.046479996,0.08653,1.01,0.839,533.7088592172603,26.09035339846216,-62.240741451851854,21.347,13.1,1.0867941,0.25649565,26.934968369946706,0.006
CHIP,0.03689,0.12318,0.17618999,0.14234,0.05075,0.06869,2.542,0.954,8.213583404466501,23.65883594818621,-39.78400841687345,49.52,115.90186012499998,13.835364,7.779856,27.62642053500229,-0.453125
